source_name,source_path,status,destination_folder,destination_name,destination_path,category,veo_priority,notes,duplicate_of,sha256,size_bytes
21.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\21.jpg,ALREADY_ORGANIZED,09_cold_sides,stuffed_grape_leaves_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\09_cold_sides\stuffed_grape_leaves_01.jpg,cold_side,low,Stuffed grape leaves.,,2256104f08d901a3e53cb8f499efc198b63a99c311be4b51783c44dbcd940c1b,88083
22.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\22.jpg,ALREADY_ORGANIZED,07_rotisserie,rotisserie_chicken_closeup_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\07_rotisserie\rotisserie_chicken_closeup_01.jpg,rotisserie,medium,Close rotisserie chicken shot.,,a2d092929153a8476a1a77c0070a830fef312635e93e5e1839412d5d3273bd4f,96703
23.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\23.jpg,ALREADY_ORGANIZED,06_grill,grilled_lamb_ribs_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\06_grill\grilled_lamb_ribs_01.jpg,lamb_grill,high,Strong lamb ribs shot.,,3ab3b4262ddd37abd035145569dd58b06d912e26fcf0b8717564dabe6f6268ae,102125
24.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\24.jpg,ALREADY_ORGANIZED,10_sauces,red_sauce_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\10_sauces\red_sauce_01.jpg,sauce,low,Red sauce.,,d86d755b3946ce558b2e57ded28f633398e125625c1b9520788740771d6fb255,86949
25.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\25.jpg,ALREADY_ORGANIZED,10_sauces,green_sauce_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\10_sauces\green_sauce_01.jpg,sauce,low,Green sauce.,,a8a9190dbc6214ca751c757cf769be24c32250f063e51d37845b5bc7f80b7e53,97920
26.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\26.jpg,ALREADY_ORGANIZED,18_reference_only,chicken_rice_customer_table_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\18_reference_only\chicken_rice_customer_table_01.jpg,customer_table,reference_only,Real table context; do not prioritize for Veo.,,7af6247abfade369a8ec1eb785fb9efc0867d344d8ae409e3142fcb48bbfcbe1,62077
27.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\27.jpg,ALREADY_ORGANIZED,12_restaurant_interior,restaurant_interior_hallway_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\12_restaurant_interior\restaurant_interior_hallway_01.jpg,restaurant_interior,low,Use in CapCut with a subtle zoom.,,c66885745165412e65e7bbaa20faa24fed81e481a6420f80233c610de93e8c2d,36692
28.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\28.jpg,ALREADY_ORGANIZED,07_rotisserie,rotisserie_chicken_wall_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\07_rotisserie\rotisserie_chicken_wall_01.jpg,kitchen_action,highest,Strong motion and action candidate.,,e5dd91a0e3699e010f571d6e83f11de2d284bb4b441505db7a8cef11b06e9a88,51041
29.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\29.jpg,ALREADY_ORGANIZED,11_restaurant_exterior,restaurant_exterior_night_02.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\11_restaurant_exterior\restaurant_exterior_night_02.jpg,restaurant_exterior,medium,Night exterior alternative.,,6ee695e90a3c00fa866f4a9667ce2afd224b035104c91a3b2aa58a0f1c3a3c6e,68114
3.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\3.jpeg,ALREADY_ORGANIZED,09_cold_sides,tahini_01.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\09_cold_sides\tahini_01.jpeg,cold_side,low,Tahini.,,2a74e9a524419b554fcacf8b47db0e56a80045ed9ca1494f6838038edee0d5e4,421273
30.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\30.jpg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_white_rice_real_03.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_white_rice_real_03.jpg,chicken_rice,medium,Chicken and white rice.,,cce4ec60fef671e557a3f3cccb134b2e9f161cad636279529451ef319cae1e57,118615
31.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\31.jpg,ALREADY_ORGANIZED,06_grill,grilled_chicken_pieces_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\06_grill\grilled_chicken_pieces_01.jpg,grill,medium,Grilled chicken pieces.,,24929fbc615ee731b26f67981a44ad03aa7077b18175eedd98b2b8ef740a0484,90253
32.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\32.jpg,ALREADY_ORGANIZED,11_restaurant_exterior,restaurant_exterior_day_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\11_restaurant_exterior\restaurant_exterior_day_01.jpg,restaurant_exterior,medium,Day exterior with restaurant identity.,,4ffeab9dcee88a6fee3d5c51fd66be1a51e5692496f5009c94455e41e0d045fc,74972
34.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\34.jpg,ALREADY_ORGANIZED,12_restaurant_interior,restaurant_interior_screens_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\12_restaurant_interior\restaurant_interior_screens_01.jpg,restaurant_interior,medium,Interior screens and kitchen opening.,,84821b5186053d20c0320d8086551033e3fa9f13d2c70f5db2ea085c6181ad84,66489
35.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\35.jpg,ALREADY_ORGANIZED,12_restaurant_interior,restaurant_kitchen_window_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\12_restaurant_interior\restaurant_kitchen_window_01.jpg,restaurant_interior,low,Kitchen service-area reference.,,a3dc99eac02909e6ca82c9a9d6de10b6b3a9b0aa40c6284154e90c7f56b6809c,42411
36.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\36.jpg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_white_rice_real_04.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_white_rice_real_04.jpg,chicken_rice,medium,Additional white-rice chicken product shot.,,3ecd4451b6a2d8f5150b5efb698346d8b90b7c3a15c49ce96d1f28155dda0376,119246
37.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\37.jpg,ALREADY_ORGANIZED,06_grill,mixed_grill_platter_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\06_grill\mixed_grill_platter_01.jpg,grill,high,Mixed grill platter.,,f4cf576279e33c4331bfabab661755843ce28cecdbd3325cf356ea39d8621d8b,121356
38.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\38.jpg,ALREADY_ORGANIZED,02_lamb_hero,lamb_hero_whole_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\02_lamb_hero\lamb_hero_whole_01.jpg,lamb_hero,highest,Primary lamb hook for client prototype.,,6f9cc352cf4a4e232f046c83a7f81280595cc0b3598675b7c1842afd7d0edaa2,98144
39.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\39.jpg,ALREADY_ORGANIZED,02_lamb_hero,lamb_rice_closeup_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\02_lamb_hero\lamb_rice_closeup_01.jpg,lamb_detail,highest,Second main lamb shot.,,187c799427dfe1bcb6d5c0688280a96f4f8dfc8ce15503c5e52f624cc1239705,112563
4.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\4.jpeg,ALREADY_ORGANIZED,08_hot_sides,okra_stew_original_01.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\08_hot_sides\okra_stew_original_01.jpeg,hot_side,medium,Okra stew.,,ab5fa13f334f28b74d63b93a598ca4ef2461bd7a1c61f12f99c105126ebceb44,507709
40.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\40.jpg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_rice_table_real_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_rice_table_real_01.jpg,chicken_rice,low,Crowded table shot; use mostly in editing.,,b7f67ed9aebd90cb6d85ea17617ff2d732f1bd77acff37e9cc59fe0ab77abd0b,90615
41.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\41.jpg,ALREADY_ORGANIZED,03_lamb_feasts,lamb_rice_real_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\03_lamb_feasts\lamb_rice_real_01.jpg,lamb_feast,medium,Realistic lamb and two-color rice tray.,,0da95513aa6c5e130b33255ce7b7ce6ae798666e8c1049c1d03e9c419c3cf0cd,42447
42.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\42.jpg,ALREADY_ORGANIZED,11_restaurant_exterior,restaurant_exterior_night_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\11_restaurant_exterior\restaurant_exterior_night_01.jpg,restaurant_exterior,high,Preferred night exterior identity shot.,,78f01ac779646410b68ad395bf25163f088bab64c19b7f3130d5e654e1a10267,63347
5.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\5.jpeg,DUPLICATE,09_cold_sides,cucumber_yogurt_01.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\09_cold_sides\cucumber_yogurt_01.jpeg,cold_side,medium,Primary cucumber-yogurt shot.,1.jpeg,12f21bcbd2e52017d6b820f0995c744e74e6a499f40e27390a3564ca1498d53e,400269
6.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\6.jpeg,ALREADY_ORGANIZED,08_hot_sides,vegetable_stew_original_02.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\08_hot_sides\vegetable_stew_original_02.jpeg,hot_side,low,Second hot stew view; check for duplication.,,00d5897d759d1286cf55f8002451cb36e74c4a181e4252a8d60ddf3723fb6195,490745
7.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\7.jpeg,DUPLICATE,08_hot_sides,vegetable_stew_original_01.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\08_hot_sides\vegetable_stew_original_01.jpeg,hot_side,medium,Hot vegetable stew.,6.jpeg,00d5897d759d1286cf55f8002451cb36e74c4a181e4252a8d60ddf3723fb6195,490745
8.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\8.jpeg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_white_rice_original_02.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_white_rice_original_02.jpeg,chicken_rice,medium,Second white-rice chicken angle.,,2f54f34e72dfa423bb32da9c92655fbcd06039f1d21caf9586f3a26005e3cb98,548046
9.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\9.jpeg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_yellow_rice_original_02.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_yellow_rice_original_02.jpeg,chicken_rice,medium,Second yellow-rice chicken angle.,,cb495191191c390e7cd3fb4bccfad945b1f9323b0819a703eeab27367c03fac9,555295
chat1.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat1.png,UNMATCHED,,,,,,No automatic classification rule.,,3f341fff21e10baa54d7b07040e5e9dd492d3547c909f34897ceb15302ce033a,120028
chat1_resized.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat1_resized.png,UNMATCHED,,,,,,No automatic classification rule.,,bbe4fe68c289e805836be9174a2f560714e989cdd6f44a1a72987781a9fec5d5,790480
chat2.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat2.png,ALREADY_ORGANIZED,05_chicken_rice_ai,chicken_ai_sprinkle_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\05_chicken_rice_ai\chicken_ai_sprinkle_01.png,chicken_ai,medium,Sprinkle action; hand artifact risk.,,240949e5864662f5061d1934dde027a61031c88e9e74ff6a6f2f312623e73732,117247
chat2_resized.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat2_resized.png,UNMATCHED,,,,,,No automatic classification rule.,,51c3c03dfe4886202af463bf44ba901554d778406ffa46eac46158871c59cf90,758272
chat3.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat3.png,UNMATCHED,,,,,,No automatic classification rule.,,4db0243f81ad9767af8d516c4ae108419f6ecc4a4a85c91095614e821cca8af4,135893
chat3_resized.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat3_resized.png,UNMATCHED,,,,,,No automatic classification rule.,,657e87b55152b6b9b6fae738a859d211fbdf8cdcb5ccad64d3ab88ecf9c3debd,953817
chat4.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat4.png,ALREADY_ORGANIZED,05_chicken_rice_ai,chicken_ai_detail_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\05_chicken_rice_ai\chicken_ai_detail_01.png,chicken_ai,high,Close food detail.,,0282f080b34a95fb5a19177ef9475c2821ed730911d86f6f3a40b8de72fccd1a,134095
chat4_resized.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat4_resized.png,UNMATCHED,,,,,,No automatic classification rule.,,a5c6d3f8e46515f8770872b6cf0aebb2c3ea5a1bb0d4a0dd6f34cc3c5ed2fd81,995939
chat5(1)_resized.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat5(1)_resized.png,UNMATCHED,,,,,,No automatic classification rule.,,7fde8bab511292f043d78e922be474a7a8c28fc64532e11d90b9c6b7775e3d74,370526
chat5.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat5.png,ALREADY_ORGANIZED,05_chicken_rice_ai,chicken_ai_steam_hook_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\05_chicken_rice_ai\chicken_ai_steam_hook_01.png,chicken_ai,highest,Strong steam hook.,,c52c9d0de970299db5ac9239793d7bc93eac73598854ec6b7bf6ef0b64b6e2a7,373975
chat6.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat6.png,ALREADY_ORGANIZED,05_chicken_rice_ai,chicken_ai_presentation_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\05_chicken_rice_ai\chicken_ai_presentation_01.png,chicken_ai,high,Plate presentation shot.,,5e5108e7878db0a26c63f4693bae557431af44e33009a3ca14cc2dcf87610218,128425
chat6_resized.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\chat6_resized.png,UNMATCHED,,,,,,No automatic classification rule.,,065a32af05d78fa39721ab35d3c038d9c3757d4cd0003b786b8bca8d59cf46dd,879781
"ChatGPT Image Jul 21, 2026, 06_32_49 PM.png","D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\ChatGPT Image Jul 21, 2026, 06_32_49 PM.png",ALREADY_ORGANIZED,15_character_ai,chef_character_ai_kitchen_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\15_character_ai\chef_character_ai_kitchen_01.png,character_ai,medium,Generated character image; use subtle motion only.,,6671e9745fdf96eb862be6f3e3f442eeb33bfa4f29ad56288787854fcf28d7b0,2224689
"ChatGPT Image Jul 21, 2026, 06_32_58 PM.png","D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\ChatGPT Image Jul 21, 2026, 06_32_58 PM.png",ALREADY_ORGANIZED,05_chicken_rice_ai,chicken_ai_vertical_hero_02.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\05_chicken_rice_ai\chicken_ai_vertical_hero_02.png,chicken_ai,high,Second vertical chicken hero.,,7a9bd94f5970c4ebc420707c5a7fd3a4b15ebdea7806dcf4c04fe5d7708ca7d5,2138945
"ChatGPT Image Jul 21, 2026, 06_33_03 PM.png","D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\ChatGPT Image Jul 21, 2026, 06_33_03 PM.png",ALREADY_ORGANIZED,09_cold_sides,salad_ai_vertical_hero_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\09_cold_sides\salad_ai_vertical_hero_01.png,cold_side_ai,medium,Vertical salad hero.,,424f8351a39521e1ff47f26efd5c7cd32fb939087c7962ef76f05806ce04c60c,2111809
"ChatGPT Image Jul 21, 2026, 06_33_13 PM.png","D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\ChatGPT Image Jul 21, 2026, 06_33_13 PM.png",ALREADY_ORGANIZED,05_chicken_rice_ai,chicken_ai_vertical_hero_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\05_chicken_rice_ai\chicken_ai_vertical_hero_01.png,chicken_ai,high,Vertical chicken hero.,,dc704e0c09ac14bde1c758f575b473c64ea5baa432ccb6bc61861c62ff7b5694,2022191
"ChatGPT Image Jul 21, 2026, 06_33_22 PM.png","D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\ChatGPT Image Jul 21, 2026, 06_33_22 PM.png",ALREADY_ORGANIZED,16_storyboards_to_split,chicken_ai_storyboard_6panel_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\16_storyboards_to_split\chicken_ai_storyboard_6panel_01.png,storyboard,split_required,Multi-panel chicken board; split before video.,,2d874a47806bece02c5bb71989301a751d1a9c1ffed6298fe2b5e6c7420b6efd,2402759
Gemini_Generated_Image_qexnnqqexnnqqexn.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\Gemini_Generated_Image_qexnnqqexnnqqexn.png,ALREADY_ORGANIZED,08_hot_sides,stew_ai_hero_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\08_hot_sides\stew_ai_hero_01.png,hot_side_ai,high,Strong generated stew hero.,,035997da127514521951a7393d83f52e0e1966ec1dc92574fab28f12fed569a7,1839887
Gemini_Generated_Image_w812t7w812t7w812.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\Gemini_Generated_Image_w812t7w812t7w812.png,ALREADY_ORGANIZED,16_storyboards_to_split,stew_ai_storyboard_4panel_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\16_storyboards_to_split\stew_ai_storyboard_4panel_01.png,storyboard,split_required,Four-panel stew board; split before video.,,41858afa4de447344eca4915e70be5a74db29f861ced3958daf9fe7d69e0623f,1959966
Gemini_Generated_Image_xj4949xj4949xj49.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\Gemini_Generated_Image_xj4949xj4949xj49.png,ALREADY_ORGANIZED,16_storyboards_to_split,chicken_ai_storyboard_4panel_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\16_storyboards_to_split\chicken_ai_storyboard_4panel_01.png,storyboard,split_required,Four-panel chicken board; split before video.,,bc179a9f81c6238bb1d486ee8a6d7c9bf9445ee2527d52e9f739b71827f9f95c,1967870
Gemini_Generated_Image_xze4q4xze4q4xze4.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\Gemini_Generated_Image_xze4q4xze4q4xze4.png,ALREADY_ORGANIZED,17_menu_spreads_ai,menu_spread_ai_overhead_01.png,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\17_menu_spreads_ai\menu_spread_ai_overhead_01.png,menu_spread,high,Overhead menu spread.,,079ecfc191a427c070cca40bd27f8a77c9da2639fbf63d3aa1e647979970d154,2677973
